epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,8385.14,0.85668,0.50164,0.00771,0.93641,0.89549,0.96354,0.49041,1.69159,0.64864,0.02423,0.000636762,0.000636762,0.000636762
58,8484.81,0.8528,0.50647,0.00807,0.93492,0.9282,0.9664,0.47366,1.73158,0.64212,0.02577,0.000622615,0.000622615,0.000622615
59,8585.18,0.81895,0.46706,0.0078,0.92861,0.9289,0.9655,0.49402,1.69169,0.62391,0.02413,0.000608468,0.000608468,0.000608468
60,8683.58,0.8452,0.50551,0.00809,0.95309,0.91835,0.97391,0.48585,1.64782,0.58905,0.02519,0.000594321,0.000594321,0.000594321
61,8772.78,0.80023,0.47652,0.00746,0.91812,0.93409,0.96289,0.49524,1.67813,0.64735,0.02414,0.000580174,0.000580174,0.000580174
62,8862.71,0.83907,0.49372,0.00771,0.93133,0.94982,0.9779,0.48615,1.69471,0.64104,0.02638,0.000566027,0.000566027,0.000566027
63,8955.04,0.84624,0.48132,0.00782,0.94052,0.92863,0.97056,0.51408,1.61599,0.58661,0.02354,0.00055188,0.00055188,0.00055188
64,9052.7,0.83129,0.44299,0.00749,0.9379,0.93322,0.9683,0.5215,1.58574,0.58018,0.0235,0.000537733,0.000537733,0.000537733
65,9160.27,0.81696,0.45634,0.00772,0.94219,0.94733,0.97403,0.51244,1.61917,0.59162,0.0239,0.000523586,0.000523586,0.000523586
66,9318.53,0.82593,0.44406,0.00762,0.90192,0.96718,0.96987,0.49508,1.65867,0.6132,0.02473,0.000509438,0.000509438,0.000509438
67,9439.24,0.81954,0.44239,0.00803,0.95012,0.94189,0.97422,0.47417,1.77591,0.61416,0.02641,0.000495291,0.000495291,0.000495291
68,9523.49,0.79827,0.43737,0.0077,0.95119,0.93068,0.96508,0.51133,1.65307,0.57582,0.02384,0.000481144,0.000481144,0.000481144
69,9607.57,0.78947,0.44191,0.00723,0.94491,0.94131,0.96801,0.50535,1.67244,0.59733,0.02402,0.000466997,0.000466997,0.000466997
70,9691.45,0.80294,0.4534,0.0077,0.92641,0.96391,0.97237,0.51577,1.61832,0.57291,0.02366,0.00045285,0.00045285,0.00045285
71,9772.53,0.81083,0.42672,0.00761,0.96454,0.94799,0.98107,0.51891,1.64927,0.5606,0.02338,0.000438703,0.000438703,0.000438703
72,9854.12,0.796,0.4338,0.00767,0.94466,0.97106,0.97992,0.52266,1.59776,0.52831,0.02359,0.000424556,0.000424556,0.000424556
73,10071.1,0.80218,0.43777,0.00733,0.95168,0.94999,0.97729,0.50566,1.66822,0.55453,0.02465,0.000410409,0.000410409,0.000410409
74,10159,0.7898,0.43854,0.00756,0.93499,0.95971,0.97619,0.50063,1.68798,0.56708,0.02421,0.000396262,0.000396262,0.000396262
75,10245.9,0.82557,0.43653,0.00738,0.95009,0.95546,0.97807,0.5326,1.57634,0.51619,0.02299,0.000382115,0.000382115,0.000382115
76,10328.5,0.79664,0.42512,0.00749,0.92844,0.97518,0.97542,0.52375,1.57902,0.55657,0.02395,0.000367967,0.000367967,0.000367967
